symbol,type,tag
TSLA,stock,automotive
NIO,stock,automotive
F,stock,automotive
GM,stock,automotive
ADBE,stock,cloud
COUP,stock,cloud
CRM,stock,cloud
DOCU,stock,cloud
GOOG,stock,cloud
MDB,stock,cloud
NOW,stock,cloud
SNOW,stock,cloud
TTD,stock,cloud
TWLO,stock,cloud
VEEV,stock,cloud
WDAY,stock,cloud
Z,stock,cloud
ZM,stock,cloud
FVRR,stock,cloud
HUBS,stock,cloud
NET,stock,cloud
OPEN,stock,cloud
SKLZ,stock,cloud
TEAM,stock,cloud
WIX,stock,cloud
AAPL,stock,consumer
CHKP,stock,cybersec
CRWD,stock,cybersec
CSCO,stock,cybersec
CYBR,stock,cybersec
FTNT,stock,cybersec
MNDT,stock,cybersec
OKTA,stock,cybersec
PANW,stock,cybersec
PING,stock,cybersec
QLYS,stock,cybersec
RPD,stock,cybersec
SAIL,stock,cybersec
TENB,stock,cybersec
VMW,stock,cybersec
VRNS,stock,cybersec
ZS,stock,cybersec
AMZN,stock,ecommerce
ETSY,stock,ecommerce
SHOP,stock,ecommerce
BAC,stock,financials
BX,stock,financials
C,stock,financials
FISV,stock,financials
GS,stock,financials
JPM,stock,financials
MA,stock,financials
MS,stock,financials
STT,stock,financials
V,stock,financials
VIRT,stock,financials
WFC,stock,financials
KNSL,stock,financials
LMND,stock,financials
LOB,stock,financials
UPST,stock,financials
WD,stock,financials
AFRM,stock,financials
PYPL,stock,financials
SQ,stock,financials
TW,stock,financials
MRK,stock,healthcare
DMTK,stock,healthcare
FLGT,stock,healthcare
NVTA,stock,healthcare
SDGR,stock,healthcare
ABBV,stock,healthcare
ABT,stock,healthcare
AMGN,stock,healthcare
ARCT,stock,healthcare
AZN,stock,healthcare
BIIB,stock,healthcare
CRSP,stock,healthcare
GILD,stock,healthcare
ILMN,stock,healthcare
ISRG,stock,healthcare
JNJ,stock,healthcare
MRNA,stock,healthcare
PFE,stock,healthcare
REGN,stock,healthcare
TDOC,stock,healthcare
TXG,stock,healthcare
VRTX,stock,healthcare
BA,stock,industrials
CAT,stock,industrials
DE,stock,industrials
HON,stock,industrials
LMT,stock,industrials
URI,stock,industrials
DNMR,stock,materials
CURI,stock,media
NFLX,stock,media
ROKU,stock,media
SPOT,stock,media
MTCH,stock,media
FB,stock,media
PINS,stock,media
SNAP,stock,media
TWTR,stock,media
ACC,stock,reit
CCI,stock,reit
DLR,stock,reit
DOC,stock,reit
IRT,stock,reit
O,stock,reit
PLD,stock,reit
SPG,stock,reit
STOR,stock,reit
CMG,stock,retail
COST,stock,retail
DIS,stock,retail
DPZ,stock,retail
HD,stock,retail
IP,stock,retail
KHC,stock,retail
KO,stock,retail
MCD,stock,retail
NKE,stock,retail
PEP,stock,retail
SBUX,stock,retail
SHW,stock,retail
TGT,stock,retail
TMO,stock,retail
VZ,stock,retail
WMT,stock,retail
TXN,stock,semichips
AMD,stock,semichips
AVGO,stock,semichips
INTC,stock,semichips
MCHP,stock,semichips
MRVL,stock,semichips
MU,stock,semichips
NVDA,stock,semichips
OLED,stock,semichips
ON,stock,semichips
QCOM,stock,semichips
QRVO,stock,semichips
AMAT,stock,semiequip
ASML,stock,semiequip
KLAC,stock,semiequip
LRCX,stock,semiequip
TER,stock,semiequip
APPN,stock,software
MSFT,stock,software
SPCE,stock,space
ACLS,stock,tech
ADSK,stock,tech
FSLY,stock,tech
TSM,stock,tech
UBER,stock,travel
LYFT,stock,travel
BKNG,stock,travel
ABNB,stock,travel
EXPE,stock,travel
ARKG,etf,etf
GLD,etf,etf
IGV,etf,etf
JETS,etf,etf
MOON,etf,etf
QQQJ,etf,etf
TAN,etf,etf
TQQQ,etf,etf
IBB,etf,etf_healthcare
XBI,etf,etf_healthcare
IPOD,etf,etf_spac
XLY,etf,etf_spdr_consumer_discretionary
XLP,etf,etf_spdr_consumer_staples
XLE,etf,etf_spdr_energy
XLF,etf,etf_spdr_financials
XLV,etf,etf_spdr_healthcare
XLI,etf,etf_spdr_industrials
XLB,etf,etf_spdr_materials
XLRE,etf,etf_spdr_real_estate
XLK,etf,etf_spdr_technology
XLC,etf,etf_spdr_telecommunications
XLU,etf,etf_spdr_utilities
RNLX,etf,healthcare
IWM,index,index
QQQ,index,index
SPY,index,index
PGF,index,preferred
PGX,index,Preferred 
SMH,index,semiindex
SOXX,index,semiindex
